date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
14000131,فاراك,4339733320,1815788,20576132,2430,0,2390,2390,2390,2390,71,82,7,0,1,1815788,1815388,0,400
14000201,فاراك,1779914360,754201,20576132,2430,0,2360,2360,2360,2360,71,61,5,0,0,754201,754201,0,0
14000204,فاراك,409896600,173685,20576132,2430,0,,,,,54,30,1,0,0,173685,173685,0,0
14000205,فاراك,444222800,188230,20576132,2430,0,2360,2360,2360,2360,54,25,1,0,0,188230,188230,0,0
14000206,فاراك,2583067200,1094520,20576132,2430,0,2360,2360,2360,2360,54,60,12,0,1,1094520,1091431,0,3089
14000207,فاراك,4140808800,1754580,20576132,2420,0,2360,2360,2360,2360,52,100,15,0,0,1754580,1754580,0,0
14000208,فاراك,5578580400,2373864,20576132,2410,0,2350,2350,2350,2350,54,137,15,0,0,2373864,2373864,0,0
14000211,فاراك,5578580400,2373864,20576132,2410,0,2350,2350,2350,2350,54,137,15,0,0,2373864,2373864,0,0
14000212,فاراك,430097030,184591,20746888,2399,0,2330,2330,2330,2330,53,27,1,0,0,184591,184591,0,0
14000213,فاراك,1398508752,600734,20746888,2397,0,2328,2328,2328,2328,53,35,1,0,1,600734,200734,0,400000
14000215,فاراك,1803447818,775343,20885547,2394,0,2326,2326,2326,2326,53,56,7,0,0,775343,775343,0,0
14000218,فاراك,1347774401,580187,20885547,2392,0,2323,2323,2323,2323,53,36,2,1,0,570187,580187,10000,0
14000219,فاراك,531903570,229170,20885547,2391,0,2321,2321,2321,2321,53,36,2,0,0,229170,229170,0,0
14000220,فاراك,1057300560,455733,20885547,2389,0,2320,2320,2320,2320,53,46,4,0,0,455733,455733,0,0
14000221,فاراك,6955390800,3000600,20885547,2379,0,2318,2318,2318,2318,52,120,12,0,2,3000600,2200600,0,800000
14000222,فاراك,1725617744,747668,20885547,2376,0,2308,2308,2308,2308,53,70,7,0,0,747668,747668,0,0
14000225,فاراك,8098307968,3586496,6313131,2309,-3,2258,2258,2258,2258,51,83,13,0,2,3586496,2786496,0,800000
14000226,فاراك,7304227502,3329183,6313131,2248,-3,2194,2194,2194,2194,49,85,11,0,1,3329183,2929183,0,400000
14000227,فاراك,1204174272,563752,6313131,2238,0,2136,2136,2136,2136,50,57,6,0,0,563752,563752,0,0
14000228,فاراك,1348092600,633800,6313131,2227,0,2127,2127,2127,2127,49,56,7,0,0,633800,633800,0,0
14000229,فاراك,913075160,431510,6313131,2219,0,2116,2116,2116,2116,49,35,4,0,0,431510,431510,0,0
14000301,فاراك,516386541,244849,6759802,2215,0,2109,2109,2109,2109,49,30,2,0,0,244849,244849,0,0
14000302,فاراك,853160710,405302,6759802,2208,0,2105,2105,2105,2105,49,30,6,0,0,405302,405302,0,0
14000303,فاراك,617940724,294538,6759802,2203,0,2098,2098,2098,2098,49,39,1,0,0,294538,294538,0,0
14000304,فاراك,3383501940,1616580,6759802,2177,-1,2093,2093,2093,2093,48,75,7,0,0,1616580,1616580,0,0
14000305,فاراك,1222996245,591105,6759802,2168,0,2069,2069,2069,2069,48,52,3,0,0,591105,591105,0,0
14000308,فاراك,4.66E+11,223570947,6918819,2084,-4,2060,2144,2060,2088,46,3588,3105,6,21,216484202,187631970,7086745,35938977
14000309,فاراك,2.67E+11,124423024,6918819,2145,3,2116,2188,2020,2070,48,1799,1892,6,6,98021003,90703310,26402021,33719714
14000310,فاراك,64754334143,31619396,6918819,2048,-5,2070,2108,2038,2038,46,708,497,1,1,29619396,28618530,2000000,3000866
14000311,فاراك,6062482776,3115356,6918819,2002,-2,1946,1946,1946,1946,44,162,16,0,1,3115356,1716604,0,1398752
14000312,فاراك,3.05E+11,156295441,6918819,1949,-3,1902,2029,1902,1985,49,2059,1728,5,7,146702434,131582020,9593007,24713421
14000317,فاراك,1.42E+11,69429968,7696254,2043,5,2029,2046,1991,2046,51,328,766,2,8,67922438,27440170,1507530,41989798
14000318,فاراك,1.91E+11,89618968,7696254,2133,4,2145,2145,2070,2119,53,657,1067,3,4,87165784,85062069,2453184,4556899
14000319,فاراك,2.35E+11,108904773,6957328,2156,1,2076,2227,2066,2173,54,1167,1383,4,5,106754773,108038894,2150000,865879
14000322,فاراك,96430676838,45468546,6957328,2121,-2,2102,2185,2055,2100,53,668,806,4,2,45133546,45443701,335000,24845
14000323,فاراك,86550861087,41158390,6957328,2103,-1,2115,2144,2051,2100,53,490,638,1,1,41148390,35958390,10000,5200000
14000324,فاراك,1.2E+11,56222181,6957328,2131,1,2129,2178,2094,2150,53,623,698,3,2,55205181,54668561,1017000,1553620
14000325,فاراك,1.39E+11,67695719,6957328,2056,-4,2140,2173,2025,2025,51,917,625,2,4,66645719,65542570,1050000,0
14000326,فاراك,1.71E+11,85755345,7537688,1990,-3,1999,2050,1954,1967,50,995,661,5,3,48035345,72105345,37720000,13650000
14000329,فاراك,70200000000,35026462,7537688,2004,1,2001,2044,1961,1990,50,708,557,0,2,35026462,33592140,0,1434322
14000330,فاراك,1.11E+11,57790866,7537688,1922,-4,2010,2030,1904,1904,48,1151,395,3,2,55225866,55658547,2565000,2132319
14000401,فاراك,2.25E+11,109800809,7537688,2054,5,2050,2059,2001,2059,51,1040,992,1,8,99773019,92107426,10027790,17693383
